Type	Symbol	Name	ID	URL	Locus type	status
gene	MIR23A	microRNA 23a	HGNC:31605	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31605	RNA, micro	Approved
gene	MIR23B	microRNA 23b	HGNC:31606	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31606	RNA, micro	Approved
gene	MIR23C	microRNA 23c	HGNC:38913	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:38913	RNA, micro	Approved
gene	MIR24-1	microRNA 24-1	HGNC:31607	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31607	RNA, micro	Approved
gene	MIR24-2	microRNA 24-2	HGNC:31608	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31608	RNA, micro	Approved
gene	MIR25	microRNA 25	HGNC:31609	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31609	RNA, micro	Approved
gene	MIR26A1	microRNA 26a-1	HGNC:31610	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31610	RNA, micro	Approved
gene	MIR26A2	microRNA 26a-2	HGNC:31611	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31611	RNA, micro	Approved
gene	MIR26B	microRNA 26b	HGNC:31612	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31612	RNA, micro	Approved
gene	MIR27A	microRNA 27a	HGNC:31613	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31613	RNA, micro	Approved
gene	MIR27B	microRNA 27b	HGNC:31614	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31614	RNA, micro	Approved
gene	MIR28	microRNA 28	HGNC:31615	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31615	RNA, micro	Approved
gene	MIR29A	microRNA 29a	HGNC:31616	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31616	RNA, micro	Approved
gene	MIR29B1	microRNA 29b-1	HGNC:31619	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31619	RNA, micro	Approved
gene	MIR29B2	microRNA 29b-2	HGNC:31620	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31620	RNA, micro	Approved
gene	MIR29C	microRNA 29c	HGNC:31621	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31621	RNA, micro	Approved
gene	MIR30A	microRNA 30a	HGNC:31624	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31624	RNA, micro	Approved
gene	MIR30B	microRNA 30b	HGNC:31625	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31625	RNA, micro	Approved
gene	MIR30C1	microRNA 30c-1	HGNC:31626	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31626	RNA, micro	Approved
gene	MIR30C2	microRNA 30c-2	HGNC:31627	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31627	RNA, micro	Approved
gene	MIR30D	microRNA 30d	HGNC:31628	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31628	RNA, micro	Approved
gene	MIR30E	microRNA 30e	HGNC:31629	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31629	RNA, micro	Approved
gene	MIR31	microRNA 31	HGNC:31630	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31630	RNA, micro	Approved
gene	MIR32	microRNA 32	HGNC:31631	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31631	RNA, micro	Approved
gene	MIR33A	microRNA 33a	HGNC:31634	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31634	RNA, micro	Approved
gene	MIR33B	microRNA 33b	HGNC:32791	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:32791	RNA, micro	Approved
gene	MIR34A	microRNA 34a	HGNC:31635	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31635	RNA, micro	Approved
gene	MIR34B	microRNA 34b	HGNC:31636	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31636	RNA, micro	Approved
gene	MIR34C	microRNA 34c	HGNC:31637	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31637	RNA, micro	Approved
gene	MIR92A1	microRNA 92a-1	HGNC:31643	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31643	RNA, micro	Approved
gene	MIR92A2	microRNA 92a-2	HGNC:31644	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31644	RNA, micro	Approved
gene	MIR92B	microRNA 92b	HGNC:32920	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:32920	RNA, micro	Approved
gene	MIR93	microRNA 93	HGNC:31645	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31645	RNA, micro	Approved
gene	MIR95	microRNA 95	HGNC:31647	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31647	RNA, micro	Approved
gene	MIR96	microRNA 96	HGNC:31648	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31648	RNA, micro	Approved
gene	MIR98	microRNA 98	HGNC:31649	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31649	RNA, micro	Approved
gene	MIR99A	microRNA 99a	HGNC:31650	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31650	RNA, micro	Approved
gene	MIR99B	microRNA 99b	HGNC:31651	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31651	RNA, micro	Approved
gene	MIR100	microRNA 100	HGNC:31487	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31487	RNA, micro	Approved
gene	MIR101-1	microRNA 101-1	HGNC:31488	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31488	RNA, micro	Approved
gene	MIR101-2	microRNA 101-2	HGNC:31489	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31489	RNA, micro	Approved
gene	MIR103A1	microRNA 103a-1	HGNC:31490	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31490	RNA, micro	Approved
gene	MIR103A2	microRNA 103a-2	HGNC:31491	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31491	RNA, micro	Approved
gene	MIR103B1	microRNA 103b-1	HGNC:35384	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:35384	RNA, micro	Approved
gene	MIR103B2	microRNA 103b-2	HGNC:35385	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:35385	RNA, micro	Approved
gene	MIR105-1	microRNA 105-1	HGNC:31492	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31492	RNA, micro	Approved
gene	MIR105-2	microRNA 105-2	HGNC:31493	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31493	RNA, micro	Approved
gene	MIR106A	microRNA 106a	HGNC:31494	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31494	RNA, micro	Approved
gene	MIR106B	microRNA 106b	HGNC:31495	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31495	RNA, micro	Approved
gene	MIR107	microRNA 107	HGNC:31496	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31496	RNA, micro	Approved
gene	MIR122	microRNA 122	HGNC:31501	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31501	RNA, micro	Approved
gene	MIR124-1	microRNA 124-1	HGNC:31502	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31502	RNA, micro	Approved
gene	MIR124-2	microRNA 124-2	HGNC:31503	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31503	RNA, micro	Approved
gene	MIR124-3	microRNA 124-3	HGNC:31504	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31504	RNA, micro	Approved
gene	MIR125A	microRNA 125a	HGNC:31505	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31505	RNA, micro	Approved
gene	MIR125B1	microRNA 125b-1	HGNC:31506	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31506	RNA, micro	Approved
gene	MIR125B2	microRNA 125b-2	HGNC:31507	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31507	RNA, micro	Approved
gene	MIR126	microRNA 126	HGNC:31508	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31508	RNA, micro	Approved
gene	MIR127	microRNA 127	HGNC:31509	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31509	RNA, micro	Approved
gene	MIR128-1	microRNA 128-1	HGNC:31510	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31510	RNA, micro	Approved
gene	MIR128-2	microRNA 128-2	HGNC:31511	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31511	RNA, micro	Approved
gene	MIR129-1	microRNA 129-1	HGNC:31512	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31512	RNA, micro	Approved
gene	MIR129-2	microRNA 129-2	HGNC:31513	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31513	RNA, micro	Approved
gene	MIR130A	microRNA 130a	HGNC:31514	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31514	RNA, micro	Approved
gene	MIR130B	microRNA 130b	HGNC:31515	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31515	RNA, micro	Approved
gene	MIR132	microRNA 132	HGNC:31516	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31516	RNA, micro	Approved
gene	MIR133A1	microRNA 133a-1	HGNC:31517	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31517	RNA, micro	Approved
gene	MIR133A2	microRNA 133a-2	HGNC:31518	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31518	RNA, micro	Approved
gene	MIR133B	microRNA 133b	HGNC:31759	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31759	RNA, micro	Approved
gene	MIR134	microRNA 134	HGNC:31519	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31519	RNA, micro	Approved
gene	MIR135A1	microRNA 135a-1	HGNC:31520	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31520	RNA, micro	Approved
gene	MIR135A2	microRNA 135a-2	HGNC:31521	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31521	RNA, micro	Approved
gene	MIR135B	microRNA 135b	HGNC:31760	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31760	RNA, micro	Approved
gene	MIR136	microRNA 136	HGNC:31522	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31522	RNA, micro	Approved
gene	MIR137	microRNA 137	HGNC:31523	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31523	RNA, micro	Approved
gene	MIR138-1	microRNA 138-1	HGNC:31524	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31524	RNA, micro	Approved
gene	MIR138-2	microRNA 138-2	HGNC:31525	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31525	RNA, micro	Approved
gene	MIR139	microRNA 139	HGNC:31526	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31526	RNA, micro	Approved
gene	MIR140	microRNA 140	HGNC:31527	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31527	RNA, micro	Approved
gene	MIR141	microRNA 141	HGNC:31528	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31528	RNA, micro	Approved
gene	MIR142	microRNA 142	HGNC:31529	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31529	RNA, micro	Approved
gene	MIR143	microRNA 143	HGNC:31530	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31530	RNA, micro	Approved
gene	MIR144	microRNA 144	HGNC:31531	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31531	RNA, micro	Approved
gene	MIR145	microRNA 145	HGNC:31532	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31532	RNA, micro	Approved
gene	MIR146A	microRNA 146a	HGNC:31533	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31533	RNA, micro	Approved
gene	MIR146B	microRNA 146b	HGNC:32079	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:32079	RNA, micro	Approved
gene	MIR147A	microRNA 147a	HGNC:31534	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31534	RNA, micro	Approved
gene	MIR147B	microRNA 147b	HGNC:33655	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:33655	RNA, micro	Approved
gene	MIR148A	microRNA 148a	HGNC:31535	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31535	RNA, micro	Approved
gene	MIR148B	microRNA 148b	HGNC:31761	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31761	RNA, micro	Approved
gene	MIR149	microRNA 149	HGNC:31536	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31536	RNA, micro	Approved
gene	MIR150	microRNA 150	HGNC:31537	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31537	RNA, micro	Approved
gene	MIR151A	microRNA 151a	HGNC:31762	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31762	RNA, micro	Approved
gene	MIR151B	microRNA 151b	HGNC:41588	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:41588	RNA, micro	Approved
gene	MIR152	microRNA 152	HGNC:31538	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31538	RNA, micro	Approved
gene	MIR153-1	microRNA 153-1	HGNC:31539	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31539	RNA, micro	Approved
gene	MIR153-2	microRNA 153-2	HGNC:31540	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31540	RNA, micro	Approved
gene	MIR154	microRNA 154	HGNC:31541	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31541	RNA, micro	Approved
gene	MIR155	microRNA 155	HGNC:31542	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31542	RNA, micro	Approved
gene	MIR181A1	microRNA 181a-1	HGNC:31590	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31590	RNA, micro	Approved
gene	MIR181A2	microRNA 181a-2	HGNC:31549	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31549	RNA, micro	Approved
gene	MIR181B1	microRNA 181b-1	HGNC:31550	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31550	RNA, micro	Approved
gene	MIR181B2	microRNA 181b-2	HGNC:31551	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31551	RNA, micro	Approved
gene	MIR181C	microRNA 181c	HGNC:31552	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31552	RNA, micro	Approved
gene	MIR181D	microRNA 181d	HGNC:32089	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:32089	RNA, micro	Approved
gene	MIR182	microRNA 182	HGNC:31553	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31553	RNA, micro	Approved
gene	MIR183	microRNA 183	HGNC:31554	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31554	RNA, micro	Approved
gene	MIR184	microRNA 184	HGNC:31555	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31555	RNA, micro	Approved
gene	MIR185	microRNA 185	HGNC:31556	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31556	RNA, micro	Approved
gene	MIR186	microRNA 186	HGNC:31557	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31557	RNA, micro	Approved
gene	MIR187	microRNA 187	HGNC:31558	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31558	RNA, micro	Approved
gene	MIR188	microRNA 188	HGNC:31559	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31559	RNA, micro	Approved
gene	MIR190A	microRNA 190a	HGNC:31560	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31560	RNA, micro	Approved
gene	MIR190B	microRNA 190b	HGNC:33656	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:33656	RNA, micro	Approved
gene	MIR191	microRNA 191	HGNC:31561	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31561	RNA, micro	Approved
gene	MIR192	microRNA 192	HGNC:31562	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31562	RNA, micro	Approved
gene	MIR193A	microRNA 193a	HGNC:31563	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31563	RNA, micro	Approved
gene	MIR193B	microRNA 193b	HGNC:32087	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:32087	RNA, micro	Approved
gene	MIR194-1	microRNA 194-1	HGNC:31564	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31564	RNA, micro	Approved
gene	MIR194-2	microRNA 194-2	HGNC:31565	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31565	RNA, micro	Approved
gene	MIR195	microRNA 195	HGNC:31566	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31566	RNA, micro	Approved
gene	MIR196A1	microRNA 196a-1	HGNC:31567	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31567	RNA, micro	Approved
gene	MIR196A2	microRNA 196a-2	HGNC:31568	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31568	RNA, micro	Approved
gene	MIR196B	microRNA 196b	HGNC:31790	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31790	RNA, micro	Approved
gene	MIR197	microRNA 197	HGNC:31569	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31569	RNA, micro	Approved
gene	MIR198	microRNA 198	HGNC:31570	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31570	RNA, micro	Approved
gene	MIR199A1	microRNA 199a-1	HGNC:31571	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31571	RNA, micro	Approved
gene	MIR199A2	microRNA 199a-2	HGNC:31572	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31572	RNA, micro	Approved
gene	MIR199B	microRNA 199b	HGNC:31573	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31573	RNA, micro	Approved
gene	MIR200A	microRNA 200a	HGNC:31578	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31578	RNA, micro	Approved
gene	MIR200B	microRNA 200b	HGNC:31579	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31579	RNA, micro	Approved
gene	MIR200C	microRNA 200c	HGNC:31580	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31580	RNA, micro	Approved
gene	MIR202	microRNA 202	HGNC:32080	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:32080	RNA, micro	Approved
gene	MIR203A	microRNA 203a	HGNC:31581	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31581	RNA, micro	Approved
gene	MIR203B	microRNA 203b	HGNC:41811	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:41811	RNA, micro	Approved
gene	MIR204	microRNA 204	HGNC:31582	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31582	RNA, micro	Approved
gene	MIR205	microRNA 205	HGNC:31583	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31583	RNA, micro	Approved
gene	MIR206	microRNA 206	HGNC:31584	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31584	RNA, micro	Approved
gene	MIR208A	microRNA 208a	HGNC:31585	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31585	RNA, micro	Approved
gene	MIR208B	microRNA 208b	HGNC:33669	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:33669	RNA, micro	Approved
gene	MIR210	microRNA 210	HGNC:31587	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31587	RNA, micro	Approved
gene	MIR211	microRNA 211	HGNC:31588	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31588	RNA, micro	Approved
gene	MIR212	microRNA 212	HGNC:31589	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31589	RNA, micro	Approved
gene	MIR214	microRNA 214	HGNC:31591	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31591	RNA, micro	Approved
gene	MIR215	microRNA 215	HGNC:31592	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31592	RNA, micro	Approved
gene	MIR216A	microRNA 216a	HGNC:31593	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31593	RNA, micro	Approved
gene	MIR216B	microRNA 216b	HGNC:33668	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:33668	RNA, micro	Approved
gene	MIR217	microRNA 217	HGNC:31594	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31594	RNA, micro	Approved
gene	MIR218-1	microRNA 218-1	HGNC:31595	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31595	RNA, micro	Approved
gene	MIR218-2	microRNA 218-2	HGNC:31596	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31596	RNA, micro	Approved
gene	MIR219A1	microRNA 219a-1	HGNC:31597	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31597	RNA, micro	Approved
gene	MIR219A2	microRNA 219a-2	HGNC:31598	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31598	RNA, micro	Approved
gene	MIR219B	microRNA 219b	HGNC:41823	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:41823	RNA, micro	Approved
gene	MIR220A	microRNA 220a	HGNC:31600	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31600	RNA, micro	Entry Withdrawn
gene	MIR220B	microRNA 220b	HGNC:33640	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:33640	RNA, micro	Entry Withdrawn
gene	MIR220C	microRNA 220c	HGNC:33647	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:33647	RNA, micro	Entry Withdrawn
gene	MIR221	microRNA 221	HGNC:31601	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31601	RNA, micro	Approved
gene	MIR222	microRNA 222	HGNC:31602	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31602	RNA, micro	Approved
gene	MIR223	microRNA 223	HGNC:31603	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31603	RNA, micro	Approved
gene	MIR224	microRNA 224	HGNC:31604	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31604	RNA, micro	Approved
gene	MIR296	microRNA 296	HGNC:31617	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31617	RNA, micro	Approved
