Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"MIR126","MicroRNA 126","RNA Gene","","23","GC09P136670","15.2111654281616","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR126"
"MIR223","MicroRNA 223","RNA Gene","","22","GC0XP066018","15.2095623016357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR223"
"MIR122","MicroRNA 122","RNA Gene","","22","GC18P058451","15.1493034362793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR122"
"MIR200C","MicroRNA 200c","RNA Gene","","23","GC12P033755","14.8021678924561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR200C"
"MIR211","MicroRNA 211","RNA Gene","","22","GC15M031065","14.668384552002","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR211"
"MIR222","MicroRNA 222","RNA Gene","","21","GC0XM045747","14.5915861129761","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR222"
"MIR27A","MicroRNA 27a","RNA Gene","","24","GC19M017490","14.5499563217163","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR27A"
"MIR106B","MicroRNA 106b","RNA Gene","","22","GC07M104468","14.4363822937012","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR106B"
"MIR203A","MicroRNA 203a","RNA Gene","","22","GC14P113810","14.3948726654053","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR203A"
"MIR93","MicroRNA 93","RNA Gene","","22","GC07M104464","14.333685874939","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR93"
"MIR29C","MicroRNA 29c","RNA Gene","","19","GC01M207826","14.2736339569092","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29C"
"MIR210","MicroRNA 210","RNA Gene","","22","GC11M009566","14.2602682113647","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR210"
"MIR182","MicroRNA 182","RNA Gene","","22","GC07M129770","14.1796073913574","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR182"
"MIR15A","MicroRNA 15a","RNA Gene","","17","GC13M050049","14.171199798584","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR15A"
"DGCR8","DGCR8 Microprocessor Complex Subunit","Protein Coding","Q8WYQ5","46","GC22P020080","14.1266851425171","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DGCR8"
"AGO2","Argonaute RISC Catalytic Component 2","Protein Coding","Q9UKV8","47","GC08M140522","14.1101398468018","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGO2"
"MIR141","MicroRNA 141","RNA Gene","","22","GC12P033756","14.1068096160889","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR141"
"MIR143","MicroRNA 143","RNA Gene","","25","GC05P149833","14.0579929351807","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR143"
"MIR200B","MicroRNA 200b","RNA Gene","","22","GC01P001167","13.9672527313232","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR200B"
"MIR23A","MicroRNA 23a","RNA Gene","","22","GC19M017491","13.9107418060303","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR23A"
"MIR193A","MicroRNA 193a","RNA Gene","","21","GC17P031559","13.7518768310547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR193A"
"MIR125B1","MicroRNA 125b-1","RNA Gene","","22","GC11M122100","13.7335834503174","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125B1"
"MIR200A","MicroRNA 200a","RNA Gene","","21","GC01P008374","13.6215171813965","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR200A"
"MIR27B","MicroRNA 27b","RNA Gene","","22","GC09P097186","13.4816656112671","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR27B"
"MIR150","MicroRNA 150","RNA Gene","","22","GC19M049500","13.3673410415649","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR150"
"MIR195","MicroRNA 195","RNA Gene","","20","GC17M015301","13.367151260376","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR195"
"MIR31","MicroRNA 31","RNA Gene","","21","GC09M022050","13.2623109817505","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR31"
"MIR142","MicroRNA 142","RNA Gene","","22","GC17M058331","13.2309532165527","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR142"
"MIR25","MicroRNA 25","RNA Gene","","21","GC07M100093","13.2183818817139","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR25"
"MIR181D","MicroRNA 181d","RNA Gene","","19","GC19P013874","13.1832790374756","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR181D"
"MIRLET7D","MicroRNA Let-7d","RNA Gene","","23","GC09P094178","13.1302261352539","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7D"
"MIR199B","MicroRNA 199b","RNA Gene","","20","GC09M128244","13.1191282272339","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR199B"
"MIR19A","MicroRNA 19a","RNA Gene","","21","GC13P091647","13.1014442443848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR19A"
"MIRLET7I","MicroRNA Let-7i","RNA Gene","","22","GC12P062648","13.0920114517212","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7I"
"MIR106A","MicroRNA 106a","RNA Gene","","20","GC0XM134419","13.06312084198","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR106A"
"MIR30A","MicroRNA 30a","RNA Gene","","20","GC06M071403","12.9721479415894","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30A"
"MIR148A","MicroRNA 148a","RNA Gene","","21","GC07M025950","12.89914894104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR148A"
"MIRLET7E","MicroRNA Let-7e","RNA Gene","","21","GC19P096469","12.8915138244629","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7E"
"MIR132","MicroRNA 132","RNA Gene","","22","GC17M002049","12.8492841720581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR132"
"MIR532","MicroRNA 532","RNA Gene","","17","GC0XP056080","12.680100440979","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR532"
"MIR149","MicroRNA 149","RNA Gene","","23","GC02P240456","12.6356897354126","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR149"
"MIRLET7G","MicroRNA Let-7g","RNA Gene","","20","GC03M052268","12.6217765808105","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7G"
"MIR24-1","MicroRNA 24-1","RNA Gene","","19","GC09P095086","12.605712890625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR24-1"
"MIRLET7A2","MicroRNA Let-7a-2","RNA Gene","","21","GC11M122146","12.5470504760742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7A2"
"MIR423","MicroRNA 423","RNA Gene","","19","GC17P030117","12.4916143417358","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR423"
"MIR381","MicroRNA 381","RNA Gene","","19","GC14P114457","12.4910516738892","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR381"
"MIR92A1","MicroRNA 92a-1","RNA Gene","","20","GC13P091644","12.4810266494751","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR92A1"
"MIR100","MicroRNA 100","RNA Gene","","22","GC11M122152","12.4716682434082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR100"
"MIR205","MicroRNA 205","RNA Gene","","21","GC01P209432","12.4398670196533","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR205"
"MIR204","MicroRNA 204","RNA Gene","","23","GC09M070809","12.4224042892456","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR204"
"MIR15B","MicroRNA 15b","RNA Gene","","21","GC03P160404","12.3992023468018","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR15B"
"MIR30B","MicroRNA 30b","RNA Gene","","22","GC08M134800","12.3910083770752","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30B"
"MIR379","MicroRNA 379","RNA Gene","","18","GC14P114455","12.3103103637695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR379"
"MIR375","MicroRNA 375","RNA Gene","","21","GC02M219001","12.2617378234863","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR375"
"MIR214","MicroRNA 214","RNA Gene","","23","GC01M172234","12.2363700866699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR214"
"MIR22","MicroRNA 22","RNA Gene","","23","GC17M001713","12.2210874557495","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR22"
"MIR424","MicroRNA 424","RNA Gene","","20","GC0XM134743","12.1839666366577","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR424"
"MIR101-1","MicroRNA 101-1","RNA Gene","","20","GC01M065058","12.1663503646851","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR101-1"
"MIR144","MicroRNA 144","RNA Gene","","19","GC17M067447","12.1632843017578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR144"
"MIR9-1","MicroRNA 9-1","RNA Gene","","21","GC01M156420","12.1416130065918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR9-1"
"MIR140","MicroRNA 140","RNA Gene","","25","GC16P069934","12.0714206695557","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR140"
"MIR191","MicroRNA 191","RNA Gene","","22","GC03M053107","12.0253572463989","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR191"
"H19","H19 Imprinted Maternally Expressed Transcript","RNA Gene","","28","GC11M001995","12.0168104171753","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19"
"MIR199A1","MicroRNA 199a-1","RNA Gene","","20","GC19M010817","11.9955921173096","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR199A1"
"MIR208B","MicroRNA 208b","RNA Gene","","22","GC14M023417","11.9742345809937","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR208B"
"MIR10B","MicroRNA 10b","RNA Gene","","23","GC02P176150","11.9560661315918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR10B"
"MIR192","MicroRNA 192","RNA Gene","","22","GC11M064891","11.8287334442139","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR192"
"MIR199A2","MicroRNA 199a-2","RNA Gene","","22","GC01M172235","11.7393922805786","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR199A2"
"MIR429","MicroRNA 429","RNA Gene","","21","GC01P008375","11.7240104675293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR429"
"MIR23B","MicroRNA 23b","RNA Gene","","21","GC09P095085","11.7049770355225","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR23B"
"BDNF-AS","BDNF Antisense RNA","RNA Gene","","22","GC11P027466","11.7001361846924","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS"
"MIRLET7A1","MicroRNA Let-7a-1","RNA Gene","","23","GC09P094175","11.6931266784668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7A1"
"MIR139","MicroRNA 139","RNA Gene","","22","GC11M072615","11.6923809051514","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR139"
"MIR183","MicroRNA 183","RNA Gene","","20","GC07M129871","11.6673564910889","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR183"
"MIR26B","MicroRNA 26b","RNA Gene","","23","GC02P218402","11.6107769012451","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR26B"
"MIR19B1","MicroRNA 19b-1","RNA Gene","","19","GC13P091649","11.5798330307007","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR19B1"
"MIR26A1","MicroRNA 26a-1","RNA Gene","","22","GC03P037969","11.5713424682617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR26A1"
"MIR124-3","MicroRNA 124-3","RNA Gene","","19","GC20P066068","11.5334148406982","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR124-3"
"MIR302A","MicroRNA 302a","RNA Gene","","21","GC04M112895","11.4978876113892","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR302A"
"MIR499A","MicroRNA 499a","RNA Gene","","22","GC20P034990","11.486026763916","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR499A"
"MIR335","MicroRNA 335","RNA Gene","","21","GC07P130496","11.4182634353638","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR335"
"MIR181A2","MicroRNA 181a-2","RNA Gene","","21","GC09P124692","11.3704566955566","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR181A2"
"MIR96","MicroRNA 96","RNA Gene","","21","GC07M129774","11.3275871276855","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR96"
"MIR206","MicroRNA 206","RNA Gene","","21","GC06P052144","11.3141746520996","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR206"
"MIR30D","MicroRNA 30d","RNA Gene","","19","GC08M134804","11.3023414611816","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30D"
"MIR20B","MicroRNA 20b","RNA Gene","","16","GC0XM134417","11.2534532546997","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR20B"
"MIR543","MicroRNA 543","RNA Gene","","17","GC14P113782","11.2463550567627","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR543"
"MIR216A","MicroRNA 216a","RNA Gene","","21","GC02M055988","11.2238759994507","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR216A"
"MIR107","MicroRNA 107","RNA Gene","","21","GC10M089604","11.2237167358398","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR107"
"MIR497","MicroRNA 497","RNA Gene","","20","GC17M015302","11.2151756286621","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR497"
"MIR128-2","MicroRNA 128-2","RNA Gene","","21","GC03P035754","11.177357673645","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR128-2"
"MIR29B1","MicroRNA 29b-1","RNA Gene","","22","GC07M130877","11.1306896209717","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29B1"
"TARBP2","TARBP2 Subunit Of RISC Loading Complex","Protein Coding","Q15633","44","GC12P053600","11.1105813980103","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TARBP2"
"MIR342","MicroRNA 342","RNA Gene","","21","GC14P100109","11.038990020752","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR342"
"MIR148B","MicroRNA 148b","RNA Gene","","22","GC12P054337","11.0062427520752","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR148B"
"MIR378A","MicroRNA 378a","RNA Gene","","22","GC05P149732","11.0015392303467","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR378A"
"MIR33B","MicroRNA 33b","RNA Gene","","20","GC17M017813","10.9912796020508","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR33B"
"MIR103A1","MicroRNA 103a-1","RNA Gene","","19","GC05M168560","10.9834423065186","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR103A1"
"MIR130A","MicroRNA 130a","RNA Gene","","22","GC11P057641","10.958158493042","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR130A"
"MIR338","MicroRNA 338","RNA Gene","","19","GC17M081297","10.9477443695068","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR338"
"MIR99A","MicroRNA 99a","RNA Gene","","22","GC21P016539","10.9118795394897","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR99A"
"MIR663A","MicroRNA 663a","RNA Gene","","16","GC20M026208","10.8656558990479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR663A"
"MIR130B","MicroRNA 130b","RNA Gene","","20","GC22P063862","10.8380784988403","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR130B"
"MIR34B","MicroRNA 34b","RNA Gene","","22","GC11P112285","10.8000574111938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34B"
"MIR10A","MicroRNA 10a","RNA Gene","","22","GC17M048579","10.7801580429077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR10A"
"MIR30C2","MicroRNA 30c-2","RNA Gene","","20","GC06M087869","10.7417421340942","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30C2"
"LIN28A","Lin-28 Homolog A","Protein Coding","Q9H9Z2","45","GC01P026410","10.7363967895508","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIN28A"
"MIR503","MicroRNA 503","RNA Gene","","21","GC0XM134742","10.6963043212891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR503"
"MIR301B","MicroRNA 301b","RNA Gene","","17","GC22P060338","10.6360597610474","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR301B"
"MIR185","MicroRNA 185","RNA Gene","","23","GC22P060249","10.6129865646362","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR185"
"MIR224","MicroRNA 224","RNA Gene","","17","GC0XM151958","10.6124324798584","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR224"
"MIR29B2","MicroRNA 29b-2","RNA Gene","","19","GC01M207827","10.5847320556641","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29B2"
"MIR483","MicroRNA 483","RNA Gene","","21","GC11M009658","10.5618209838867","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR483"
"MIR519D","MicroRNA 519d","RNA Gene","","19","GC19P053713","10.5436706542969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR519D"
"MIR409","MicroRNA 409","RNA Gene","","19","GC14P114460","10.5056982040405","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR409"
"MIR30E","MicroRNA 30e","RNA Gene","","23","GC01P040754","10.3886013031006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30E"
"MIRLET7F2","MicroRNA Let-7f-2","RNA Gene","","18","GC0XM053674","10.3786811828613","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7F2"
"MIR1246","MicroRNA 1246","RNA Gene","","13","GC02M176600","10.3678102493286","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1246"
"MIR190B","MicroRNA 190b","RNA Gene","","18","GC01M154193","10.3291339874268","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR190B"
"MIR181A1","MicroRNA 181a-1","RNA Gene","","20","GC01M198860","10.277792930603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR181A1"
"MIR486-2","MicroRNA 486-2","RNA Gene","","15","GC08P041820","10.2668523788452","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR486-2"
"MIR486-1","MicroRNA 486-1","RNA Gene","","19","GC08M041660","10.1889543533325","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR486-1"
"MIR574","MicroRNA 574","RNA Gene","","21","GC04P039043","10.1889352798462","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR574"
"SNORD44","Small Nucleolar RNA, C/D Box 44","RNA Gene","","14","GC01M174844","10.1582269668579","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD44"
"MIR196A1","MicroRNA 196a-1","RNA Gene","","22","GC17M048632","10.0594186782837","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR196A1"
"MIR376B","MicroRNA 376b","RNA Gene","","15","GC14P114452","10.0500841140747","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR376B"
"MIR16-2","MicroRNA 16-2","RNA Gene","","20","GC03P160418","9.99203205108643","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR16-2"
"MIR187","MicroRNA 187","RNA Gene","","20","GC18M035904","9.94539070129395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR187"
"MIR193B","MicroRNA 193b","RNA Gene","","22","GC16P060105","9.9355001449585","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR193B"
"MIR1-2","MicroRNA 1-2","RNA Gene","","17","GC18M032012","9.93024158477783","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1-2"
"MIR518B","MicroRNA 518b","RNA Gene","","18","GC19P096573","9.8857307434082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR518B"
"MIR302C","MicroRNA 302c","RNA Gene","","21","GC04M112896","9.88030529022217","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR302C"
"MIR125B2","MicroRNA 125b-2","RNA Gene","","22","GC21P016590","9.86726093292236","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125B2"
"MIR758","MicroRNA 758","RNA Gene","","16","GC14P114480","9.86150360107422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR758"
"XIST","X Inactive Specific Transcript","RNA Gene","","24","GC0XM073820","9.83715629577637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XIST"
"MIR197","MicroRNA 197","RNA Gene","","20","GC01P109598","9.81559467315674","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR197"
"MIR498","MicroRNA 498","RNA Gene","","16","GC19P096564","9.79444217681885","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR498"
"MIR196B","MicroRNA 196b","RNA Gene","","22","GC07M027893","9.79301071166992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR196B"
"MIR330","MicroRNA 330","RNA Gene","","21","GC19M085706","9.78466796875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR330"
"MIR361","MicroRNA 361","RNA Gene","","17","GC0XM085903","9.77336406707764","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR361"
"MIR137","MicroRNA 137","RNA Gene","","20","GC01M098046","9.76354312896729","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR137"
"MIR151A","MicroRNA 151a","RNA Gene","","20","GC08M140877","9.74567794799805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR151A"
"MIR99B","MicroRNA 99b","RNA Gene","","21","GC19P051692","9.69423294067383","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR99B"
"MIR425","MicroRNA 425","RNA Gene","","20","GC03M053106","9.69040012359619","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR425"
"MIR296","MicroRNA 296","RNA Gene","","19","GC20M058817","9.67628574371338","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR296"
"MIR212","MicroRNA 212","RNA Gene","","21","GC17M002050","9.66606330871582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR212"
"MIR885","MicroRNA 885","RNA Gene","","18","GC03M010748","9.66464328765869","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR885"
"MIR511","MicroRNA 511","RNA Gene","","16","GC10P017845","9.64810848236084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR511"
"MIR135B","MicroRNA 135b","RNA Gene","","22","GC01M205448","9.61865043640137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR135B"
"MIR28","MicroRNA 28","RNA Gene","","20","GC03P188688","9.61642456054688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR28"
"MIR501","MicroRNA 501","RNA Gene","","17","GC0XP056082","9.61155128479004","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR501"
"MIR328","MicroRNA 328","RNA Gene","","21","GC16M067203","9.59342288970947","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR328"
"MIR484","MicroRNA 484","RNA Gene","","20","GC16P060175","9.58600521087646","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR484"
"MIR127","MicroRNA 127","RNA Gene","","22","GC14P113738","9.58541393280029","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR127"
