Name	        Accession	RPM	Chrmsm	Start	          End	      Strand Confidence
hsa-mir-98	MI0000100	616	chrX	53556223	53556341	-	High
hsa-mir-99a	MI0000101	1967	chr21	16539089	16539169	+	High
hsa-mir-100	MI0000102	1446	chr11	122152229	122152308	-	High
hsa-mir-101-1	MI0000103	3806	chr1	65058434	65058508	-	High
hsa-mir-29b-1	MI0000105	2447	chr7	130877459	130877539	-	High
hsa-mir-29b-2	MI0000107	2264	chr1	207802443	207802523	-	High
hsa-mir-103a-2	MI0000108	15897	chr20	3917494	         3917571	+	High
hsa-mir-103a-1	MI0000109	15862	chr5	168560896	168560973	-	High
hsa-mir-105-1	MI0000111	162	chrX	152392219	152392299	-	High
hsa-mir-105-2	MI0000112	153	chrX	152394412	152394492	-	High
hsa-mir-106a	MI0000113	2817	chrX	134170198	134170278	-	High
hsa-mir-107	MI0000114	14654	chr10	89592747	89592827	-	High
hsa-mir-16-2	MI0000115	10575	chr3	160404745	160404825	+	High
hsa-mir-192	MI0000234	1383	chr11	64891137	64891246	-	High
hsa-mir-196a-1	MI0000238	1109	chr17	48632490	48632559	-	High
hsa-mir-197	MI0000239	379	chr1	109598893	109598967	+	High
hsa-mir-198	MI0000240	19	chr3	120395668	120395729	-	-
hsa-mir-199a-1	MI0000242	10221	chr19	10817426	10817496	-	High
hsa-mir-208a	MI0000251	424	chr14	23388596	23388666	-	High
hsa-mir-129-1	MI0000252	320	chr7	128207872	128207943	+	High
hsa-mir-148a	MI0000253	13144	chr7	25949919	25949986	-	High
hsa-mir-30c-2	MI0000254	1554	chr6	71376960	71377031	-	High
hsa-mir-30d	MI0000255	2889	chr8	134804876	134804945	-	High
hsa-mir-139	MI0000261	547	chr11	72615063	72615130	-	High
hsa-mir-147a	MI0000262	0	chr9	120244979	120245050	-	-
hsa-mir-7-1	MI0000263	6676	chr9	83969748	83969857	-	High
hsa-mir-7-2	MI0000264	6424	chr15	88611825	88611934	+	High
hsa-mir-7-3	MI0000265	6734	chr19	4770670	         4770779	+	-
hsa-mir-10a	MI0000266	4312	chr17	48579838	48579947	-	High
hsa-mir-10b	MI0000267	3750	chr2	176150303	176150412	+	-
hsa-mir-34a	MI0000268	442	chr1	9151668	         9151777	-	High
hsa-mir-181a-2	MI0000269	4211	chr9	124692442	124692551	+	High
hsa-mir-181b-1	MI0000270	1441	chr1	198858873	198858982	-	High
hsa-mir-181c	MI0000271	322	chr19	13874699	13874808	+	High
hsa-mir-182	MI0000272	521	chr7	129770383	129770492	-	High
hsa-mir-183	MI0000273	635	chr7	129774905	129775014	-	High
hsa-mir-187	MI0000274	104	chr18	35904818	35904926	-	High
hsa-mir-196a-2	MI0000279	1227	chr12	53991738	53991847	+	High
hsa-mir-199a-2	MI0000281	10210	chr1	172144535	172144644	-	High
hsa-mir-199b	MI0000282	9807	chr9	128244721	128244830	-	High
hsa-mir-203a	MI0000283	725	chr14	104117405	104117514	+	High
hsa-mir-204	MI0000284	816	chr9	70809975	70810084	-	High
hsa-mir-205	MI0000285	7630	chr1	209432133	209432242	+	High
hsa-mir-210	MI0000286	423	chr11	568089	          568198	-	High
hsa-mir-211	MI0000287	1763	chr15	31065032	31065141	-	High
hsa-mir-212	MI0000288	228	chr17	2050271	         2050380	-	High
hsa-mir-181a-1	MI0000289	4186	chr1	198859044	198859153	-	High
hsa-mir-214	MI0000290	943	chr1	172138798	172138907	-	High
hsa-mir-215	MI0000291	146	chr1	220117853	220117962	-	-
hsa-mir-216a	MI0000292	2416	chr2	55988950	55989059	-	High
hsa-mir-217	MI0000293	248	chr2	55982967	55983076	-	-
hsa-mir-218-1	MI0000294	1697	chr4	20528275	20528384	+	High
hsa-mir-218-2	MI0000295	1561	chr5	168768146	168768255	-	High
hsa-mir-219a-1	MI0000296	64	chr6	33207835	33207944	+	High
hsa-mir-221	MI0000298	5088	chrX	45746157	45746266	-	High
hsa-mir-222	MI0000299	4867	chrX	45747015	45747124	-	High
hsa-mir-223	MI0000300	1820	chrX	66018870	66018979	+	High
hsa-mir-224	MI0000301	734	chrX	151958578	151958658	-	High
hsa-mir-200b	MI0000342	1272	chr1	1167104	         1167198	+	-
hsa-let-7g	MI0000433	6904	chr3	52268278	52268361	-	High
hsa-let-7i	MI0000434	7403	chr12	62603686	62603769	+	High
hsa-mir-1-2	MI0000437	5211	chr18	21829004	21829088	-	High
hsa-mir-15b	MI0000438	5285	chr3	160404588	160404685	+	High
hsa-mir-23b	MI0000439	4243	chr9	95085208	95085304	+	-
hsa-mir-27b	MI0000440	4618	chr9	95085445	95085541	+	High
hsa-mir-30b	MI0000441	938	chr8	134800520	134800607	-	High
hsa-mir-122	MI0000442	3777	chr18	58451074	58451158	+	High
hsa-mir-124-1	MI0000443	922	chr8	9903388	         9903472	-	High
hsa-mir-124-2	MI0000444	932	chr8	64379149	64379257	+	High
hsa-mir-124-3	MI0000445	919	chr20	63178500	63178586	+	High
hsa-mir-125b-1	MI0000446	5007	chr11	122099757	122099844	-	High
hsa-mir-128-1	MI0000447	1158	chr2	135665397	135665478	+	High
hsa-mir-130a	MI0000448	2307	chr11	57641198	57641286	+	High
hsa-mir-132	MI0000449	1698	chr17	2049908	         2050008	-	High
hsa-mir-133a-1	MI0000450	680	chr18	21825698	21825785	-	High
hsa-mir-133a-2	MI0000451	684	chr20	62564912	62565013	+	High
hsa-mir-135a-1	MI0000452	227	chr3	52294219	52294308	-	High
hsa-mir-135a-2	MI0000453	262	chr12	97563812	97563911	+	High
hsa-mir-137	MI0000454	1706	chr1	98046070	98046171	-	High
hsa-mir-138-2	MI0000455	512	chr16	56858518	56858601	+	High
hsa-mir-140	MI0000456	8526	chr16	69933081	69933180	+	High
hsa-mir-141	MI0000457	931	chr12	6964097	         6964191	+	High
hsa-mir-142	MI0000458	4761	chr17	58331232	58331318	-	High
hsa-mir-143	MI0000459	27646	chr5	149428918	149429023	+	High
hsa-mir-144	MI0000460	1971	chr17	28861533	28861618	-	High
hsa-mir-145	MI0000461	20797	chr5	149430646	149430733	+	High
hsa-mir-152	MI0000462	813	chr17	48037161	48037247	-	High
hsa-mir-153-1	MI0000463	477	chr2	219294111	219294200	-	High
hsa-mir-153-2	MI0000464	451	chr7	157574336	157574422	-	High
hsa-mir-191	MI0000465	8115	chr3	49020618	49020709	-	High
hsa-mir-9-1	MI0000466	2789	chr1	156420341	156420429	-	High
hsa-mir-9-2	MI0000467	2776	chr5	88666853	88666939	-	High
hsa-mir-9-3	MI0000468	2765	chr15	89368017	89368106	+	High
hsa-mir-125a	MI0000469	5127	chr19	51693254	51693339	+	High
hsa-mir-125b-2	MI0000470	5102	chr21	16590237	16590325	+	High
hsa-mir-126	MI0000471	4188	chr9	136670602	136670686	+	High
hsa-mir-127	MI0000472	596	chr14	100882979	100883075	+	High
hsa-mir-129-2	MI0000473	302	chr11	43581394	43581483	+	High
hsa-mir-134	MI0000474	491	chr14	101054687	101054759	+	High
hsa-mir-136	MI0000475	338	chr14	100884702	100884783	+	High
hsa-mir-138-1	MI0000476	800	chr3	44114212	44114310	+	High
hsa-mir-146a	MI0000477	1682	chr5	160485352	160485450	+	High
hsa-mir-149	MI0000478	225	chr2	240456001	240456089	+	High
hsa-mir-150	MI0000479	1228	chr19	49500785	49500868	-	High
hsa-mir-154	MI0000480	63	chr14	101059755	101059838	+	High
hsa-mir-184	MI0000481	1603	chr15	79209788	79209871	+	-
hsa-mir-185	MI0000482	2631	chr22	20033139	20033220	+	High
hsa-mir-186	MI0000483	4834	chr1	71067631	71067716	-	High
hsa-mir-188	MI0000484	115	chrX	50003503	50003588	+	High
hsa-mir-190a	MI0000486	127	chr15	62823957	62824041	+	High
hsa-mir-193a	MI0000487	1104	chr17	31559996	31560083	+	High
hsa-mir-194-1	MI0000488	266	chr1	220118157	220118241	-	-
hsa-mir-195	MI0000489	1198	chr17	7017615	         7017701	-	High
hsa-mir-206	MI0000490	1819	chr6	52144349	52144434	+	-
hsa-mir-320a	MI0000542	6059	chr8	22244966	22245037	-	High
hsa-mir-200c	MI0000650	2318	chr12	6963699	         6963766	+	High
hsa-mir-1-1	MI0000651	5442	chr20	62554306	62554376	+	High
hsa-mir-155	MI0000681	459	chr21	25573980	25574044	+	High
hsa-mir-181b-2	MI0000683	1507	chr9	124693710	124693798	+	High
hsa-mir-128-2	MI0000727	1106	chr3	35744476	35744559	+	High
hsa-mir-194-2	MI0000732	297	chr11	64891355	64891439	-	High
hsa-mir-106b	MI0000734	2518	chr7	100093993	100094074	-	High
hsa-mir-29c	MI0000735	2141	chr1	207801852	207801939	-	High
hsa-mir-30c-1	MI0000736	1532	chr1	40757284	40757372	+	High
hsa-mir-200a	MI0000737	1523	chr1	1167863	         1167952	+	High
hsa-mir-302a	MI0000738	362	chr4	112648183	112648251	-	High
hsa-mir-101-2	MI0000739	3835	chr9	4850297	         4850375	+	High
hsa-mir-219a-2	MI0000740	3045	chr9	128392618	128392714	-	High
hsa-mir-34b	MI0000742	437	chr11	111512938	111513021	+	High
hsa-mir-34c	MI0000743	1301	chr11	111513439	111513515	+	High
hsa-mir-299	MI0000744	137	chr14	101023794	101023856	+	High
hsa-mir-301a	MI0000745	668	chr17	59151136	59151221	-	High
hsa-mir-99b	MI0000746	1445	chr19	51692612	51692681	+	High
hsa-mir-296	MI0000747	139	chr20	58817615	58817694	-	High
hsa-mir-130b	MI0000748	1850	chr22	21653304	21653385	+	High
hsa-mir-30e	MI0000749	2874	chr1	40754355	40754446	+	High
hsa-mir-26a-2	MI0000750	11698	chr12	57824609	57824692	-	High
hsa-mir-361	MI0000760	697	chrX	85903636	85903707	-	High
hsa-mir-362	MI0000762	208	chrX	50008964	50009028	+	High
hsa-mir-363	MI0000764	532	chrX	134169378	134169452	-	High
hsa-mir-365a	MI0000767	1068	chr16	14309285	14309371	+	High
hsa-mir-365b	MI0000769	1088	chr17	31575411	31575521	+	High
hsa-mir-302b	MI0000772	12	chr4	112648485	112648557	-	-
hsa-mir-302c	MI0000773	4	chr4	112648363	112648430	-	-
hsa-mir-302d	MI0000774	4	chr4	112648004	112648071	-	-
hsa-mir-367	MI0000775	4	chr4	112647874	112647941	-	-
hsa-mir-376c	MI0000776	330	chr14	101039690	101039755	+	High
hsa-mir-369	MI0000777	261	chr14	101065598	101065667	+	High
hsa-mir-370	MI0000778	138	chr14	100911139	100911213	+	High
hsa-mir-371a	MI0000779	12	chr19	53787675	53787741	+	-
hsa-mir-372	MI0000780	31	chr19	53787890	53787956	+	-
hsa-mir-373	MI0000781	28	chr19	53788705	53788773	+	-
hsa-mir-374a	MI0000782	1036	chrX	74287286	74287357	-	High
hsa-mir-375	MI0000783	1004	chr2	219001645	219001708	-	High
hsa-mir-376a-1	MI0000784	91	chr14	101040782	101040849	+	High
hsa-mir-377	MI0000785	94	chr14	101062050	101062118	+	High
hsa-mir-378a	MI0000786	6859	chr5	149732825	149732890	+	High
hsa-mir-379	MI0000787	331	chr14	101022066	101022132	+	High
hsa-mir-380	MI0000788	36	chr14	101025017	101025077	+	High
hsa-mir-381	MI0000789	109	chr14	101045920	101045994	+	High
hsa-mir-382	MI0000790	205	chr14	101054306	101054381	+	High
hsa-mir-383	MI0000791	94	chr8	14853438	14853510	-	-
hsa-mir-340	MI0000802	1711	chr5	180015303	180015397	-	High
hsa-mir-330	MI0000803	414	chr19	45638994	45639087	-	High
hsa-mir-328	MI0000804	88	chr16	67202321	67202395	-	-
hsa-mir-342	MI0000805	887	chr14	100109655	100109753	+	High
hsa-mir-337	MI0000806	197	chr14	100874493	100874585	+	High
hsa-mir-323a	MI0000807	46	chr14	101025732	101025817	+	High
hsa-mir-326	MI0000808	29	chr11	75335092	75335186	-	-
hsa-mir-151a	MI0000809	3662	chr8	140732564	140732653	-	-
hsa-mir-135b	MI0000810	126	chr1	205448302	205448398	-	High
hsa-mir-148b	MI0000811	1329	chr12	54337216	54337314	+	High
hsa-mir-331	MI0000812	805	chr12	95308420	95308513	+	-
hsa-mir-324	MI0000813	516	chr17	7223297	         7223379	-	High
hsa-mir-338	MI0000814	385	chr17	81125883	81125949	-	High
hsa-mir-339	MI0000815	572	chr7	1022933	         1023026	-	High
hsa-mir-335	MI0000816	4193	chr7	130496111	130496204	+	High
hsa-mir-133b	MI0000822	266	chr6	52148923	52149041	+	-
hsa-mir-325	MI0000824	0	chrX	77005404	77005501	-	-
hsa-mir-345	MI0000825	321	chr14	100307859	100307956	+	High
hsa-mir-346	MI0000826	40	chr10	86264694	86264788	-	-
hsa-mir-384	MI0001145	0	chrX	76919273	76919360	-	-
hsa-mir-196b	MI0001150	1494	chr7	27169480	27169563	-	High
hsa-mir-422a	MI0001444	0	chr15	63870930	63871019	-	-
hsa-mir-423	MI0001445	5810	chr17	30117079	30117172	+	High
hsa-mir-424	MI0001446	5350	chrX	134546614	134546711	-	High
hsa-mir-425	MI0001448	1627	chr3	49020148	49020234	-	High
hsa-mir-18b	MI0001518	1926	chrX	134170041	134170111	-	High
hsa-mir-20b	MI0001519	152	chrX	134169809	134169877	-	High
hsa-mir-448	MI0001637	6	chrX	114823454	114823564	+	-
hsa-mir-429	MI0001641	318	chr1	1169005	         1169087	+	High
hsa-mir-449a	MI0001648	127	chr5	55170532	55170622	-	-
hsa-mir-450a-1	MI0001652	777	chrX	134540341	134540431	-	High
hsa-mir-431	MI0001721	54	chr14	100881007	100881120	+	-
hsa-mir-433	MI0001723	81	chr14	100881886	100881978	+	High
hsa-mir-329-1	MI0001725	54	chr14	101026785	101026864	+	High
hsa-mir-329-2	MI0001726	55	chr14	101027100	101027183	+	High
hsa-mir-451a	MI0001729	5013	chr17	28861369	28861440	-	-
hsa-mir-452	MI0001733	581	chrX	151959628	151959712	-	High
hsa-mir-409	MI0001735	122	chr14	101065300	101065378	+	High
hsa-mir-412	MI0002464	20	chr14	101065447	101065537	+	-
hsa-mir-410	MI0002465	35	chr14	101065912	101065991	+	High
hsa-mir-376b	MI0002466	139	chr14	101040436	101040535	+	High
hsa-mir-483	MI0002467	634	chr11	2134134	         2134209	-	High
hsa-mir-484	MI0002468	612	chr16	15643294	15643372	+	-
hsa-mir-485	MI0002469	114	chr14	101055419	101055491	+	High
hsa-mir-486-1	MI0002470	1411	chr8	41660441	41660508	-	High
hsa-mir-487a	MI0002471	33	chr14	101052446	101052525	+	High
hsa-mir-488	MI0003123	56	chr1	177029363	177029445	-	High
hsa-mir-489	MI0003124	17	chr7	93483936	93484019	-	-
hsa-mir-490	MI0003125	22	chr7	136903167	136903294	+	High
hsa-mir-491	MI0003126	67	chr9	20716105	20716188	+	High
hsa-mir-511	MI0003127	68	chr10	17845107	17845193	+	High
hsa-mir-146b	MI0003129	1123	chr10	102436512	102436584	+	High
hsa-mir-202	MI0003130	1373	chr10	133247511	133247620	-	High
hsa-mir-492	MI0003131	4	chr12	94834398	94834513	+	-
hsa-mir-493	MI0003132	96	chr14	100869060	100869148	+	High
hsa-mir-432	MI0003133	163	chr14	100884483	100884576	+	-
hsa-mir-494	MI0003134	45	chr14	101029634	101029714	+	High
hsa-mir-495	MI0003135	162	chr14	101033755	101033836	+	High
hsa-mir-496	MI0003136	25	chr14	101060573	101060674	+	-
hsa-mir-193b	MI0003137	1060	chr16	14303967	14304049	+	High
hsa-mir-497	MI0003138	380	chr17	7017911	         7018022	-	-
hsa-mir-181d	MI0003139	306	chr19	13874875	13875011	+	High
hsa-mir-512-1	MI0003140	18	chr19	53666679	53666762	+	High
hsa-mir-512-2	MI0003141	18	chr19	53669157	53669254	+	High
hsa-mir-498	MI0003142	70	chr19	53674197	53674320	+	-
hsa-mir-520e	MI0003143	3	chr19	53675711	53675797	+	-
hsa-mir-515-1	MI0003144	71	chr19	53679003	53679085	+	-
hsa-mir-519e	MI0003145	2	chr19	53679940	53680023	+	-
hsa-mir-520f	MI0003146	22	chr19	53682159	53682245	+	-
hsa-mir-515-2	MI0003147	71	chr19	53685009	53685091	+	-
hsa-mir-519c	MI0003148	15	chr19	53686469	53686555	+	High
hsa-mir-520a	MI0003149	26	chr19	53690881	53690965	+	High
hsa-mir-526b	MI0003150	27	chr19	53694393	53694475	+	High
hsa-mir-519b	MI0003151	19	chr19	53695213	53695293	+	High
hsa-mir-525	MI0003152	8	chr19	53697533	53697617	+	-
hsa-mir-523	MI0003153	16	chr19	53698385	53698471	+	High
hsa-mir-518f	MI0003154	19	chr19	53700015	53700101	+	High
hsa-mir-520b	MI0003155	8	chr19	53701227	53701287	+	High
hsa-mir-518b	MI0003156	10	chr19	53702737	53702819	+	-
hsa-mir-526a-1	MI0003157	15	chr19	53706252	53706336	+	-
hsa-mir-520c	MI0003158	27	chr19	53707453	53707539	+	High
hsa-mir-518c	MI0003159	7	chr19	53708735	53708835	+	High
hsa-mir-524	MI0003160	10	chr19	53711002	53711088	+	-
hsa-mir-517a	MI0003161	19	chr19	53712268	53712354	+	-
hsa-mir-519d	MI0003162	6	chr19	53713347	53713434	+	-
hsa-mir-521-2	MI0003163	2	chr19	53716594	53716680	+	-
hsa-mir-520d	MI0003164	4	chr19	53720096	53720182	+	-
hsa-mir-517b	MI0003165	19	chr19	53721076	53721142	+	-
hsa-mir-520g	MI0003166	18	chr19	53722166	53722255	+	-
hsa-mir-516b-2	MI0003167	33	chr19	53725442	53725526	+	-
hsa-mir-526a-2	MI0003168	14	chr19	53726922	53726986	+	-
hsa-mir-518e	MI0003169	16	chr19	53729838	53729925	+	High
hsa-mir-518a-1	MI0003170	7	chr19	53731006	53731090	+	High
hsa-mir-518d	MI0003171	15	chr19	53734877	53734963	+	-
hsa-mir-516b-1	MI0003172	30	chr19	53736845	53736934	+	-
hsa-mir-518a-2	MI0003173	8	chr19	53739333	53739419	+	High
hsa-mir-517c	MI0003174	25	chr19	53741313	53741407	+	-
hsa-mir-520h	MI0003175	14	chr19	53742512	53742599	+	-
hsa-mir-521-1	MI0003176	2	chr19	53748636	53748722	+	-
hsa-mir-522	MI0003177	16	chr19	53751211	53751297	+	High
hsa-mir-519a-1	MI0003178	43	chr19	53752397	53752481	+	High
hsa-mir-527	MI0003179	2	chr19	53754018	53754102	+	-
hsa-mir-516a-1	MI0003180	31	chr19	53756741	53756830	+	-
hsa-mir-516a-2	MI0003181	31	chr19	53761133	53761222	+	-
hsa-mir-519a-2	MI0003182	19	chr19	53762344	53762430	+	High
hsa-mir-499a	MI0003183	1643	chr20	34990376	34990497	+	High
hsa-mir-500a	MI0003184	268	chrX	50008431	50008514	+	High
hsa-mir-501	MI0003185	179	chrX	50009722	50009805	+	High
hsa-mir-502	MI0003186	209	chrX	50014598	50014683	+	High
hsa-mir-450a-2	MI0003187	847	chrX	134540508	134540607	-	High
hsa-mir-503	MI0003188	405	chrX	134546328	134546398	-	High
hsa-mir-504	MI0003189	32	chrX	138667711	138667793	-	High
hsa-mir-505	MI0003190	422	chrX	139924148	139924231	-	-
hsa-mir-513a-1	MI0003191	258	chrX	147213463	147213591	-	High
hsa-mir-513a-2	MI0003192	185	chrX	147225826	147225952	-	High
hsa-mir-506	MI0003193	403	chrX	147230720	147230843	-	High
hsa-mir-507	MI0003194	33	chrX	147230984	147231077	-	-
hsa-mir-508	MI0003195	1811	chrX	147236913	147237027	-	High
hsa-mir-509-1	MI0003196	1214	chrX	147260532	147260625	-	High
hsa-mir-510	MI0003197	98	chrX	147272335	147272408	-	High
hsa-mir-514a-1	MI0003198	2488	chrX	147279247	147279344	-	High
hsa-mir-514a-2	MI0003199	2465	chrX	147281943	147282030	-	High
hsa-mir-514a-3	MI0003200	2465	chrX	147284641	147284728	-	High
hsa-mir-532	MI0003205	406	chrX	50003148	50003238	+	High
hsa-mir-455	MI0003513	927	chr9	114209434	114209529	+	-
hsa-mir-539	MI0003514	83	chr14	101047321	101047398	+	High
hsa-mir-544a	MI0003515	13	chr14	101048658	101048748	+	High
hsa-mir-545	MI0003516	223	chrX	74287104	74287209	-	High
hsa-mir-376a-2	MI0003529	68	chr14	101040069	101040148	+	High
hsa-mir-487b	MI0003530	85	chr14	101046455	101046538	+	-
hsa-mir-551a	MI0003556	37	chr1	3560695	         3560790	-	-
hsa-mir-552	MI0003557	7	chr1	34669599	34669694	-	High
hsa-mir-553	MI0003558	0	chr1	100281241	100281308	+	-
hsa-mir-554	MI0003559	3	chr1	151545796	151545891	+	-
hsa-mir-92b	MI0003560	954	chr1	155195177	155195272	+	High
hsa-mir-555	MI0003561	2	chr1	155346350	155346445	-	-
hsa-mir-556	MI0003562	60	chr1	162342546	162342640	+	High
hsa-mir-557	MI0003563	0	chr1	168375524	168375621	+	-
hsa-mir-558	MI0003564	708	chr2	32532153	32532246	+	-
hsa-mir-559	MI0003565	4	chr2	47377675	47377770	+	-
hsa-mir-561	MI0003567	69	chr2	188297492	188297588	+	High
hsa-mir-562	MI0003568	0	chr2	232172653	232172747	+	-
hsa-mir-563	MI0003569	0	chr3	15873771	15873849	+	-
hsa-mir-564	MI0003570	7	chr3	44861888	44861981	+	-
hsa-mir-567	MI0003573	1469	chr3	112112801	112112898	+	-
hsa-mir-568	MI0003574	0	chr3	114316475	114316569	-	-
hsa-mir-551b	MI0003575	204	chr3	168551854	168551949	+	High
hsa-mir-569	MI0003576	0	chr3	171106664	171106759	-	-
hsa-mir-570	MI0003577	83	chr3	195699401	195699497	+	-
hsa-mir-571	MI0003578	0	chr4	350157	          350252	+	-
hsa-mir-572	MI0003579	31	chr4	11368827	11368921	+	-
hsa-mir-573	MI0003580	37	chr4	24520192	24520290	-	-
hsa-mir-574	MI0003581	1138	chr4	38868032	38868127	+	High
hsa-mir-575	MI0003582	0	chr4	82753337	82753430	-	-
hsa-mir-576	MI0003583	158	chr4	109488698	109488795	+	High
hsa-mir-577	MI0003584	137	chr4	114656759	114656854	+	High
hsa-mir-578	MI0003585	3	chr4	165386242	165386337	+	-
hsa-mir-579	MI0003586	98	chr5	32394378	32394475	-	High
hsa-mir-580	MI0003587	14	chr5	36147892	36147988	-	-
hsa-mir-581	MI0003588	21	chr5	53951504	53951599	-	-
hsa-mir-582	MI0003589	523	chr5	59703606	59703703	-	High
hsa-mir-583	MI0003590	0	chr5	96079138	96079212	+	-
hsa-mir-584	MI0003591	403	chr5	149062313	149062409	-	High
hsa-mir-585	MI0003592	66	chr5	169263601	169263694	-	High
hsa-mir-548a-1	MI0003593	151	chr6	18571784	18571880	+	-
hsa-mir-586	MI0003594	5	chr6	45197674	45197770	-	-
hsa-mir-587	MI0003595	0	chr6	106784125	106784220	+	-
hsa-mir-548b	MI0003596	236	chr6	119069047	119069143	-	High
hsa-mir-588	MI0003597	16	chr6	126484631	126484713	+	-
hsa-mir-548a-2	MI0003598	96	chr6	135239160	135239256	+	-
hsa-mir-589	MI0003599	91	chr7	5495819	         5495917	-	High
hsa-mir-550a-1	MI0003600	232	chr7	30289794	30289890	+	High
hsa-mir-550a-2	MI0003601	232	chr7	32732981	32733077	+	High
hsa-mir-590	MI0003602	996	chr7	74191198	74191294	+	High
hsa-mir-591	MI0003603	2	chr7	96219662	96219756	-	-
hsa-mir-592	MI0003604	25	chr7	127058088	127058184	-	-
hsa-mir-593	MI0003605	0	chr7	128081861	128081960	+	-
hsa-mir-595	MI0003607	0	chr7	158532718	158532813	-	-
hsa-mir-596	MI0003608	0	chr8	1817231	         1817307	+	-
hsa-mir-597	MI0003609	27	chr8	9741672	         9741768	+	High
hsa-mir-598	MI0003610	393	chr8	11035206	11035302	-	High
hsa-mir-599	MI0003611	9	chr8	99536636	99536730	-	-
hsa-mir-548a-3	MI0003612	116	chr8	104484369	104484465	-	High
hsa-mir-600	MI0003613	24	chr9	123111546	123111643	-	-
hsa-mir-601	MI0003614	0	chr9	123402525	123402603	-	-
hsa-mir-602	MI0003615	14	chr9	137838419	137838516	+	-
hsa-mir-603	MI0003616	1	chr10	24275685	24275781	+	-
hsa-mir-604	MI0003617	-	chr10	29545004	29545097	-	-
hsa-mir-605	MI0003618	139	chr10	51299573	51299655	+	High
hsa-mir-606	MI0003619	0	chr10	75552458	75552553	+	-
hsa-mir-607	MI0003620	17	chr10	96828669	96828764	-	-
hsa-mir-608	MI0003621	27	chr10	100974985	100975084	+	-
hsa-mir-609	MI0003622	1	chr10	104218789	104218883	-	-
hsa-mir-610	MI0003623	18	chr11	28056815	28056910	+	-
hsa-mir-611	MI0003624	84	chr11	61792495	61792561	-	-
hsa-mir-612	MI0003625	507	chr11	65444458	65444557	+	-
hsa-mir-613	MI0003626	62	chr12	12764649	12764743	+	-
hsa-mir-614	MI0003627	9	chr12	12915829	12915918	+	-
hsa-mir-615	MI0003628	215	chr12	54033950	54034045	+	High
hsa-mir-616	MI0003629	42	chr12	57519163	57519259	-	High
hsa-mir-548c	MI0003630	142	chr12	64622509	64622605	+	-
hsa-mir-617	MI0003631	2	chr12	80832533	80832629	-	-
hsa-mir-618	MI0003632	62	chr12	80935736	80935833	-	-
hsa-mir-619	MI0003633	1163	chr12	108836908	108837006	-	-
hsa-mir-620	MI0003634	11	chr12	116148560	116148654	-	-
hsa-mir-621	MI0003635	1	chr13	40810766	40810861	+	-
hsa-mir-622	MI0003636	25	chr13	90231182	90231277	+	-
